ITEM_ID,BU_CODE,BU_TYPE,ITEMSKU,ITEM_NO,ITEM_TYPE,ENGLISH_NAME,LOCAL_NAME,VALID_FROM,VALID_TO,UOM_CODE,UOM_CODE_DIM,UOM_CODE_VOL,UOM_CODE_WEI,SUPPLIER,DELETE_DTIME,FROM_PACK_DATE,TO_PACK_DATE,REQ_DWP_ED,REQ_DWP_NO,NOOFCP,MULTIPACKQTY,GROWEICPACK,GROVOLCPACK,MULTIPACKWEI,MULTIPACKVOL,MULTIPACKLEN,MULTIPACKWID,MULTIPACKHEI,UNITLOADQTY,UNITLOADWEI,UNITLOADVOL,UNITLOADHEI,UNITLOADLEN,UNITLOADWID,UL_FIRE_CLASS_ID,FIRE_CLASS_DESC,HEIGHTCPACK,WIDTHCPACK,LENGTHCPACK,CP_DUST_PROTECTION,CP_EXTENDED_PROTECTION,IN_RANGE_FLAG,IIP_UPDATE_DATE,IIP_INSERT_DATE,DAY_BEF_FIFO,DAY_SHELF_LIFE,DIAMETERCPACK,MULTIPACKDIAMETER,MAX_CAP_TR_WEI,UL_TYPE,SC_NET_VOL,SC_GROSS_VOL
1,024,CDC,5007846420976,50078464,ART,PELLO fot Holmby naturalny,PELLO fot Holmby naturalny,2016-12-16,,PCS,MMT,DMQ,KGM,20976,,2016-11-02,2016-11-02,7,1,1,1,8.86,54.093,,,,,,14,128.1192,858.188,995,1150,750,3,,1:130,1:570,1:730,1:No,1:No,Y,2019-07-16,2019-07-16,365,999,1:,,175,AL,57.911,61.299
2,024,CDC,5030713016864,50307130,ART,,,2017-05-23,,PCS,MMT,DMQ,KGM,16864,,2016-12-17,,5,1,1,8,1.22,15.417,10.481,110.4,600,460,400,64,90.148,1016.26,980,1220,850,3,,1:67,1:390,1:590,1:No,1:No,Y,2019-07-16,2019-07-16,365,365,1:,,100,AL,14.907,15.879
3,024,CDC,9018399113500,90183991,ART,PAX wrd frm 50x58x236 white stained oak effect,PAX ob szaf 50x58x236 d?b bejcowany na bia?o,2016-07-03,,PCS,MMT,DMQ,KGM,13500,,2017-11-30,2017-12-05,5,3,1,1,41.5,89.594,,,,,,15,629.265,1527.361,999,2486,615,3,,1:62,1:592,1:2441,1:No,1:No,Y,2019-07-16,2019-07-16,365,999,1:,,1260,DL,95.81,101.824
4,024,CDC,4015917310737,40159173,ART,FRJEN r?cz kap 70x140 turkusowy,FRJEN r?cz kap 70x140 turkusowy,2016-12-16,,PCS,MMT,DMQ,KGM,10737,,2017-07-26,2017-08-18,5,10,1,24,.49,2.25,12.49138,79.088,750,370,285,216,117.39396,867.79,980,1150,770,3,,1:25,1:250,1:360,1:Yes,1:No,Y,2019-07-16,2019-07-16,365,999,1:,,176,AL,3.731,4.018
5,024,CDC,7022822620248,70228226,ART,STOLJAN siedzisko Bomstad czarny,STOLJAN siedzisko Bomstad czarny,2016-12-16,,PCS,MMT,DMQ,KGM,20248,,2015-12-07,2016-01-24,4,3,1,1,1.64,13.244,,,,,,33,61.389,450,500,1200,750,3,,1:70,1:430,1:440,1:Yes,1:Yes,Y,2019-07-16,2019-07-16,365,365,1:,,255,AL,12.273,13.636
6,024,CDC,1029823622008,10298236,ART,TALGJE mata 180x200 bia?y,TALGJE mata 180x200 bia?y,2016-07-03,,PCS,MMT,DMQ,KGM,22008,,2016-06-21,2017-09-19,3,5,1,1,7,70.325,,,,,,20,146.138,2205.431,1887,1250,935,2,,1:,1:,1:1850,1:No,1:No,Y,2019-07-16,2019-07-16,45,179,1:220,,20,AL,106.941,110.272
7,024,CDC,9020469621386,90204696,ART,VARIERA poj na sztucce 32x50 bambus,VARIERA poj na sztucce 32x50 bambus,2017-05-23,,PCS,MMT,DMQ,KGM,21386,,2013-09-27,2013-10-30,3,2,1,1,1.31,10.41,,,,,,32,45.985,387.09,1020,690,550,3,,1:63,1:324,1:510,1:Yes,1:No,Y,2019-07-16,2019-07-16,365,999,1:,,69,BL,11.444,12.097
8,024,CDC,7024587219963,70245872,ART,HEMNES ?awa but 85x32 czarnobr?z,HEMNES ?awa but 85x32 czarnobr?z,2017-05-23,,PCS,MMT,DMQ,KGM,19963,,2016-09-30,2017-07-23,8,2,1,1,8.257,36.375,,,,,,16,136.565,639.465,958,890,750,3,,1:113,1:370,1:870,1:No,1:No,Y,2019-07-16,2019-07-16,365,999,1:,,222,AL,37.547,39.967
9,024,CDC,8019337316578,80193373,ART,SKUBB pokr ubr 3s czarny,SKUBB pokr ubr 3s czarny,2016-12-16,,PCS,MMT,DMQ,KGM,16578,,2014-01-08,2014-01-08,4,4,1,22,.662,5.212,15.454,55.946,733,355,215,264,188.048,776.625,950,1090,750,2,,1:33,1:390,1:405,1:No,1:No,Y,2019-07-16,2019-07-16,365,999,1:,,282,AL,2.725,2.942
10,024,CDC,0023066622419,00230666,ART,DUM dyw d? w? 80x150 jasnobr?zowy,DUM dyw d? w? 80x150 jasnobr?zowy,2016-12-16,,PCS,MMT,DMQ,KGM,22419,,2016-11-02,2016-11-23,2,16,1,1,4.014,9.048,,,,,,20,85.93,608.88,944,860,750,3,,1:,1:,1:800,1:No,1:No,Y,2019-07-16,2019-07-16,365,365,1:120,,220,AL,28.832,30.444
